query,dataflow,scale_factor,customer_factor,core_pin,workers,extra_workers,add_cpu_threads,chunk_bytes,nvchunk,comp_algo,sort_by,max_gpu_um_memory,pruning,pruning_param,pruning_p,pruning_m,col_filter_lo,col_filter_hi,simulate_compute_us,event_sync,device_mem_total,device_mem_used,host_mem_used,comp_bytes,uncomp_bytes,pruned_bytes,population_ms,comp_ms,prune_ms,time_ms,debug_0,debug_1,debug_2,debug_3
query3.3,INMEM,200,100,,16,8,32,0,65536,BEST_BW_COMP,natural,268435456,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,323674999360,0,67200429884,0,-1,-1,-1,2345.93,,,,
#Hashtable Builds took 457.313 ms
#[INFO ] Sum of results            =3296821384
#[INFO ] Number of results (groups)=4
query3.4,INMEM,200,100,,16,8,32,0,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,323674999360,0,67200429884,0,-1,-1,-1,2331.02,,,,
#Hashtable Builds took 459.766 ms
#[INFO ] Sum of results            =3296821384
#[INFO ] Number of results (groups)=4
query3.4,INMEM,200,100,,16,8,32,0,65536,BEST_BW_COMP,natural,16777216,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,323674999360,0,67200429884,0,-1,-1,-1,2323.99,,,,
#Hashtable Builds took 456.863 ms
#[INFO ] Sum of results            =3296821384
#[INFO ] Number of results (groups)=4
query3.4,INMEM,200,100,,16,8,32,0,65536,BEST_BW_COMP,natural,67108864,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,323674999360,0,67200429884,0,-1,-1,-1,2331.92,,,,
#Hashtable Builds took 458.708 ms
#[INFO ] Sum of results            =3296821384
#[INFO ] Number of results (groups)=4
query3.4,INMEM,200,100,,16,8,32,0,65536,BEST_BW_COMP,natural,268435456,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,323674999360,0,67200429884,0,-1,-1,-1,2339.88,,,,
#DONE
